中央及国际频道,#genre#
河北卫视HD,http://39.134.136.205:6610/200000001898/460000089800010101/1.m3u8?IAS=
河南卫视SD,http://39.134.136.205:6610/200000001898/460000089800010071/1.m3u8?IAS=
黑龙江卫视HD,http://39.134.136.205:6610/200000001898/460000089800010222/1.m3u8?IAS=
黑龙江卫视HD,http://39.134.136.205:6610/200000001898/460000089800010056/1.m3u8?IAS=
湖北卫视HD,http://39.134.136.205:6610/200000001898/460000089800010057/1.m3u8?IAS=
湖北卫视HD,http://39.134.136.205:6610/200000001898/460000089800010223/1.m3u8?IAS=
湖南卫视HD,http://39.134.136.205:6610/200000001898/460000089800010058/1.m3u8?IAS=
湖南卫视HD,http://39.134.136.205:6610/200000001898/460000089800010224/1.m3u8?IAS=
吉林卫视SD,http://39.134.136.205:6610/200000001898/460000089800010075/1.m3u8?IAS=
江苏卫视HD,http://39.134.136.205:6610/200000001898/460000089800010059/1.m3u8?IAS=
江苏卫视HD,http://39.134.136.205:6610/200000001898/460000089800010225/1.m3u8?IAS=
江西卫视HD,http://39.134.136.205:6610/200000001898/460000089800010060/1.m3u8?IAS=
辽宁卫视HD,http://39.134.136.205:6610/200000001898/460000089800010061/1.m3u8?IAS=
内蒙古卫视SD,http://39.134.136.205:6610/200000001898/460000089800010109/1.m3u8?IAS=
宁夏卫视SD,http://39.134.136.205:6610/200000001898/460000089800010110/1.m3u8?IAS=
青海卫视HD,http://39.134.136.205:6610/200000001898/460000089800010111/1.m3u8?IAS=
山东教育卫视SD,http://39.134.136.205:6610/200000001898/460000089800010112/1.m3u8?IAS=
山东卫视HD,http://39.134.136.205:6610/200000001898/460000089800010066/1.m3u8?IAS=
山西卫视SD,http://39.134.136.205:6610/200000001898/460000089800010114/1.m3u8?IAS=
陕西卫视SD,http://39.134.136.205:6610/200000001898/460000089800010113/1.m3u8?IAS=
深圳卫视HD,http://39.134.136.205:6610/200000001898/460000089800010068/1.m3u8?IAS=
四川卫视HD,http://39.134.136.205:6610/200000001898/460000089800010115/1.m3u8?IAS=
天津卫视HD,http://39.134.136.205:6610/200000001898/460000089800010069/1.m3u8?IAS=
西藏卫视（藏语）SD,http://39.134.136.205:6610/200000001898/460000089800010123/1.m3u8?IAS=
新疆卫视SD,http://39.134.136.205:6610/200000001898/460000089800010116/1.m3u8?IAS=
云南卫视HD,http://39.134.136.205:6610/200000001898/460000089800010119/1.m3u8?IAS=
浙江卫视HD,http://39.134.136.205:6610/200000001898/460000089800010070/1.m3u8?IAS=
重庆卫视HD,http://39.134.136.205:6610/200000001898/460000089800010218/1.m3u8?IAS=
重庆卫视HD,http://39.134.136.205:6610/200000001898/460000089800010053/1.m3u8?IAS=
卡通及教育频道,#genre#
